Reporting Account Short Number,Reporting Account Name,Reporting Account Indicator,Source Account Short Number,Source Account Name,As of Date,Security Number,Country of Risk Exposure Code,Country of Risk Exposure Name,Segment Description,Category Description,Sector Description,Industry Description,Security Description 1,Security Description 2,Custom,Account Base Currency,Exch Rate,Issue Currency,Traded Shares/Par,Amort Cost Base,Amort Cost Local,Price Base,Price Local,Market Value Base,Market Value Local,Net Income Receivable Base,Net Income Receivable Local,Market Value with Accrual Base,Coupon Rate,Maturity Date,Unrealized Market Gain/Loss Base,Unrealized Market Gain/Loss Local,Unrealized Currency Gain/Loss,Total Unrealized Gain/Loss,% of Market Value,ISIN,Sedol,Cusip,Ticker,Custody Account Number,Income Currency,Security Identifier,Underlying Security ID,FAS 157 Level,Capital Shares Receivable,Capital Shares Payable,Total Market Value w/ Cap Shares Rec/Pay
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,466353117,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,JACK COOPER ENTERPRISES INC,WTS EXP 04/26/2027,EQUITIES,CAD,0.765902,USD,4008,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,US4663531170,,466353117,,YVRF4001002,USD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,48128B648,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,JPMORGAN CHASE & CO,PFD 6.000% NON-CUMULATIVE,EQUITIES,CAD,0.765902,USD,8000,269099.28,205200,37.524381,28.74,300195.05,229920,0,0,300195.05,0,,32275.67,24720,-1179.9,31095.77,,US48128B6487,BJ2KBT6,48128B648,JPM PC,YVRF4001002,USD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,539473AE8,GB,UNITED KINGDOM,FIXED INCOME,FIXED INCOME - U K FIXED INTEREST,FIXED INCOME - U K FIXED INTEREST - CORPORATE,FIXED INCOME - U K FIXED INTEREST - CORPORATE,LLOYDS BANK PLC 144A,VAR RT  12/31/2049 DD 12/16/09,FIXED INCOME,CAD,0.765902,USD,500000,868452.03,666775,159.451201,122.124,797256,610620,28941.91,22166.67,826197.91,12,12/31/2049,-73318.78,-56155,2122.75,-71196.03,,US539473AE82,,539473AE8,LTBP99,YVRF4001002,USD,FTF,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,577081BB7,US,UNITED STATES,FIXED INCOME,FIXED INCOME - US BONDS,FIXED INCOME - US BONDS - CORPORATE,FIXED INCOME - US BONDS - CORPORATE - OTHER,MATTEL INC 144A,6.750% 12/31/2025 DD 12/20/17,FIXED INCOME,CAD,0.765902,USD,500000,635497.37,492500,134.48195,103,672409.75,515000,14566.16,11156.25,686975.91,6.75,12/31/2025,29377.12,22500,7535.26,36912.38,,US577081BB70,BFXPKG2,577081BB7,,YVRF4001002,USD,PRIVATE PLACEMENT,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,67058H300,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - ENERGY,EQUITIES - UNITED STATES - ENERGY,NUSTAR ENERGY LP,PFD 7.625% CUMULATIVE,EQUITIES,CAD,0.765902,USD,29064,843136.55,628522.25,29.298786,22.44,851539.92,652196.16,0,0,851539.92,0,,30909.85,23673.91,-22506.48,8403.37,,US67058H3003,BF0XV77,67058H300,NS  PB,YVRF4001002,USD,LTD PART,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,683715AA4,CA,CANADA,FIXED INCOME,FIXED INCOME - CDN CORPORATE BONDS,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,OPEN TEXT CORP 144A,5.625% 01/15/2023 DD 01/15/15,FIXED INCOME,CAD,0.765902,USD,1000000,1369745.5,1030000,133.829125,102.5,1338291.25,1025000,21216.81,16250,1359508.06,5.625,1/15/2023,-6528.25,-5000,-24926,-31454.25,,US683715AA49,BVCN928,683715AA4,,YVRF4001002,USD,PRIVATE PLACEMENT,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,748ESCAK6,US,UNITED STATES,FIXED INCOME,FIXED INCOME - US BONDS,FIXED INCOME - US BONDS - CORPORATE,FIXED INCOME - US BONDS - CORPORATE - ENERGY,ESCROW QUICKSILVER RES INC,11.000% 07/01/2021 DD 05/30/14,FIXED INCOME,CAD,0.765902,USD,2000000,2294008.49,2086173.46,0.26113,0.2,5222.6,4000,0,0,5222.6,11,7/1/2021,-2718589.78,-2082173.46,429803.89,-2288785.89,,,,748ESCAK6,,YVRF4001002,USD,DEFAULT,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,76117WAB5,US,UNITED STATES,FIXED INCOME,FIXED INCOME - US BONDS,FIXED INCOME - US BONDS - CORPORATE,FIXED INCOME - US BONDS - CORPORATE - INDUSTRIALS,RESOLUTE FOREST PRODUCTS INC,5.875% 05/15/2023 DD 05/15/14,FIXED INCOME,CAD,0.765902,USD,255000,282357.93,227934.3,131.567739,100.768,335497.74,256958.4,8910.79,6824.79,344408.53,5.875,5/15/2023,37895.33,29024.1,15244.48,53139.81,,US76117WAB54,BQLDZ82,76117WAB5,,YVRF4001002,USD,,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,78442P502,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,SLM CORP,PFD 3.819% NON-CUMULATIVE,EQUITIES,CAD,0.765902,USD,7600,676696.4,511100,72.07188,55.2,547746.29,419520,0,0,547746.29,0,,-119571.43,-91580,-9378.68,-128950.11,,US78442P5026,B0B87Z6,78442P502,SLMB P,YVRF4001002,USD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,99VVA3DH2,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - CONSUMER PRODUCTS,EQUITIES - UNITED STATES - CONSUMER PRODUCTS,S&W SEED COMPANY,WT EXP 06/30/2020,EQUITIES,CAD,0.765902,USD,200000,0,0,0,0,0.03,0.02,0,0,0.03,0,6/30/2020,0.03,0.02,0,0.03,,DUM99VVA3DH2,,,,YVRF4001002,USD,,785135104,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,99VVB0Y27,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - CONSUMER SERVICES,EQUITIES - UNITED STATES - CONSUMER SERVICES,AFFINION GROUP HOLDINGS INC,WTS,EQUITIES,CAD,0.765902,USD,1858,551891.04,413820,0,0,0,0,0,0,0,0,,-540304.08,-413820,-11586.96,-551891.04,,,,,,YVRF4001002,USD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,CASH,CA,CANADA,CASH & TEMPORARY,CANADA,CANADA,CANADA,,,CASH,CAD,1,CAD,-21128,-21128,-21128,100,1,-21128,-21128,0,0,-21128,0,,0,0,0,0,,,,,,YVRF4001002,CAD,,,,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NA9901284,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - INDUSTRIAL PRODUCTS,EQUITIES - UNITED STATES - INDUSTRIAL PRODUCTS,JACK COOPER ENTERPRISES INC,.,EQUITIES,CAD,0.765902,USD,1410,18.31,14.1,0,0,0,0,0,0,0,0,,-18.41,-14.1,0.1,-18.31,,DUMNA9901284,,,,YVRF4001002,USD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NABSLVKQ0,CA,CANADA,FIXED INCOME,FIXED INCOME - CDN CORPORATE BONDS,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,STORNOWAY DIAMOND CORP,6.250% 07/08/2021,FIXED INCOME,CAD,0.765902,USD,450000,460749.6,432000,0.26113,0.2,1175.09,900,0,0,1175.09,6.25,7/8/2021,-562865.71,-431100,103291.2,-459574.51,,CA86222QAA19,BSLVKQ3,86222QAA1,,YVRF4001002,USD,PRIVATE PLACEMENT,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NC8003781,CA,CANADA,CASH & TEMPORARY,CASH & TEMPORARY - TEMPORARY,CASH & TEMPORARY - TEMPORARY - CANADIAN CASH SWEEP,CASH & TEMPORARY - TEMPORARY - CANADIAN CASH SWEEP,RATE ON-0.5%/YR @ CIBC MELLON,VAR RT,CASH & TEMPORARY,CAD,1,CAD,1166423.03,1166423.08,1166423.08,100.000004,100.000004,1166423.08,1166423.08,1208.21,1208.21,1167631.29,1.249999805,12/31/2049,0,0,0,0,,,,,,YVRF4001002,CAD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NC9254607,CA,CANADA,FIXED INCOME,FIXED INCOME - CDN CORPORATE BONDS,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,SOURCE ENERGY SERVICES CDA LP,10.500% 15-DEC-2021 144A REST,FIXED INCOME,CAD,1,CAD,100000,105750,105750,58.335,58.335,58335,58335,3883.56,3883.56,62218.56,10.5,12/15/2021,-47415,-47415,0,-47415,,CA83615WAB87,,83615WAB8,,YVRF4001002,CAD,PRIVATE PLACEMENT,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NC9406314,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - ENERGY,EQUITIES - CANADA - ENERGY - ENERGY,CANADIAN INTL OIL CORP,WT RESTRICTED,EQUITIES,CAD,1,CAD,36000,0,0,0,0,0,0,0,0,0,0,5/2/2026,0,0,0,0,,CA1361581103,,136158110,,YVRF4001002,CAD,,NC9186023,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NC99WEW50,CA,CANADA,FIXED INCOME,FIXED INCOME - CDN CORPORATE BONDS,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,AGAWA INVESTMENT LTD,10.000% 07-AUG-2025 SR SECD NT,FIXED INCOME,CAD,1,CAD,1683196.63,1683196.63,1683196.63,76.29,76.29,1284110.71,1284110.71,0,0,1284110.71,10,8/7/2025,-399085.92,-399085.92,0,-399085.92,,QY9999WEW500,,,,YVRF4001002,CAD,,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NC99WKK18,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - MATERIALS,EQUITIES - CANADA - MATERIALS - MATERIALS,SHERRITT INTERNATIONAL CORP,WT 29-JUL-2021,EQUITIES,CAD,1,CAD,16865,0,0,0.000001,0.000001,0.02,0.02,0,0,0.02,0,7/29/2021,0.02,0.02,0,0.02,,CA8239011296,,823901129,,YVRF4001002,CAD,,NC2804150,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NC99WPE14,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - MATERIALS,EQUITIES - UNITED STATES - MATERIALS,PRES INITIAL CAP AGGREGATOR,WT 01-MAY-2022,EQUITIES,CAD,0.765902,USD,349023,0,0,0,0,0.04,0.03,0,0,0.04,0,,0.04,0.03,0,0.04,,QY9999WPE140,,,,YVRF4001002,USD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NC99WPW97,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,PRES INITIAL CAP AGGREGATOR,.,EQUITIES,CAD,0.765902,USD,2110000,896945.34,677400,0,0,0.27,0.21,0,0,0.27,0,,-884447.04,-677399.79,-12498.03,-896945.07,,,,,,YVRF4001002,USD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NC99WPX70,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - MATERIALS,EQUITIES - CANADA - MATERIALS - MATERIALS,ENERGOLD DRILLING CORP,WT 14-JUN-2022,EQUITIES,CAD,1,CAD,50000,0,0,0.000001,0.000001,0.05,0.05,0,0,0.05,0,,0.05,0.05,0,0.05,,QY9999WPX702,,,,YVRF4001002,CAD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NC99WPZC7,CA,CANADA,FIXED INCOME,FIXED INCOME - CDN CORPORATE BONDS,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,ENERGOLD DRILLING CORP,VAR RT 14-JUN-2022,FIXED INCOME,CAD,1,CAD,250000,250000,250000,21.65,21.65,54125,54125,0,0,54125,0,6/14/2022,-195875,-195875,0,-195875,,QY9999WPZC78,,,,YVRF4001002,CAD,ACT/ACT,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NC99WQ6G8,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - MATERIALS,EQUITIES - CANADA - MATERIALS - MATERIALS,RUBIX LENDING CO INC,CL B,EQUITIES,CAD,1,CAD,697.55,6.98,6.98,0.010006,0.010006,6.98,6.98,0,0,6.98,0,,0,0,0,0,,QY9999WQ6G81,,,,YVRF4001002,CAD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NC99WQ6H6,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - MATERIALS,EQUITIES - CANADA - MATERIALS - MATERIALS,COMMUNITY VEH FING AND LEASING,.,EQUITIES,CAD,1,CAD,153,7.65,7.65,0,0,0,0,0,0,0,0,,-7.65,-7.65,0,-7.65,,QY9999WQ6H64,,,,YVRF4001002,CAD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NC99WQ6L7,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - PREFERRED,EQUITIES - CANADA - PREFERRED,COMMUNITY VEH FING AND LEASING,SER 1 PFD,EQUITIES,CAD,1,CAD,23400,2049147.82,2049147.82,44.82,44.82,1048788,1048788,0,0,1048788,0,,-1000359.82,-1000359.82,0,-1000359.82,,QY9999WQ6L76,,,,YVRF4001002,CAD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NC99WWWP6,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - UTILITIES,EQUITIES - CANADA - UTILITIES - UTILITIES,GENALTA POWER INC,CONTINGENT PMT RT CTF,EQUITIES,CAD,1,CAD,1.31,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,QY9999WWWP68,,,,YVRF4001002,CAD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NCB60PMJ4,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - FINANCIALS SERVICES,EQUITIES - CANADA - FINANCIALS SERVICES - DIVERSIFIED FINANCIALS,CANACCORD GENUITY GROUP INC,CUM 5YR RESET 1ST PFD SER A,EQUITIES,CAD,1,CAD,10000,143594,143594,13.49,13.49,134900,134900,0,0,134900,0,,-8694,-8694,0,-8694,,CA1348013071,B60PMJ9,134801307,,YVRF4001002,CAD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NCB78D0Z9,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - UTILITIES,EQUITIES - CANADA - UTILITIES - UTILITIES,ATLANTIC POWER PFD EQUITY LTD,CUM RATE RESET PFD SER 2,EQUITIES,CAD,1,CAD,40800,620254.37,620254.37,18.05,18.05,736440,736440,0,0,736440,0,,116185.63,116185.63,0,116185.63,,CA04878R2000,B78D0Z4,04878R200,,YVRF4001002,CAD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NCB7N7VD0,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - FINANCIALS SERVICES,EQUITIES - CANADA - FINANCIALS SERVICES - BANKS,CANACCORD GENUITY GROUP INC,CUM 5 YR RATE RESET FIRST PFD,EQUITIES,CAD,1,CAD,8300,144590.15,144590.15,16.77,16.77,139191,139191,0,0,139191,0,,-5399.15,-5399.15,0,-5399.15,,CA1348016041,B7N7VD6,134801604,,YVRF4001002,CAD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NCB7RBF60,CA,CANADA,FIXED INCOME,FIXED INCOME - CDN CORPORATE BONDS,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,GOLF TOWN CAN/GOLFSMITH,10.500% 24-JUL-2018 144A,FIXED INCOME,CAD,1,CAD,900000,893371.36,893371.36,0,0,0,0,0,0,0,0,7/24/2018,-893371.36,-893371.36,0,-893371.36,,XS0807548846,B7RBF65,38169CAA8,,YVRF4001002,CAD,,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NCB891BB3,CA,CANADA,FIXED INCOME,FIXED INCOME - CDN CORPORATE BONDS,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,SHERRITT INTERNATIONAL CORP,7.500% 24-SEP-2023,FIXED INCOME,CAD,1,CAD,244,244,244,32.397541,32.397541,79.05,79.05,1.7,1.7,80.75,7.5,9/24/2023,-164.95,-164.95,0,-164.95,,CA823901AK94,B891BB7,823901AK9,,YVRF4001002,CAD,,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,NCB96G8X7,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,BROOKFIELD PPTY PARTNERS LP,LP UNIT,EQUITIES,CAD,1,CAD,12700,322097.51,322097.51,25.17,25.17,319659,319659,0,0,319659,0,,-2438.51,-2438.51,0,-2438.51,,BMG162491077,B96G8X3,G16249107,,YVRF4001002,USD,LTD PART,,1,,,0
